 1012 Version 10.0.2 STANDARDS TEXT MUST BE 60 CHARS OR LESS. S ref line number, s source line, number of entries
   12 00 1    0   12 S No brackets to then/else (added by Testbed).                BARR-C:2013 1.3.a BARR-C:2018 1.3.a CAST 5.2.3 CERT-C:2008 MSC03-C CERT-C:2014 EXP15-C,EXP19-C CERT-C:2016 EXP15-C,EXP19-C CMSE 2.1.3 CWE-2.11 483 CWE-3.4 483 DERA 59 EADS-C 145 FSB582-C 3.9.1.1 GJB 4.2.1.3 GJB_5369 4.2.1.3 GJB_8114 R-1-2-2 MISRA-AC 14.9 MISRA-C:1998 59 MISRA-C:2004 14.9 MISRA-C:2012(Ed 3 Rev 1) R.15.6 MISRA-C:2012(Ed 3) R.15.6 MISRA-C:2012/AMD1 R.15.6 MISRA-C:2012/AMD1/TC1 R.15.6 MISRA-C:2012/AMD2 R.15.6 MISRA-C:2012/TC1 R.15.6 NUREG_CR-6463 1.2.2.2 SEC-Cv1 M2.1.2 SEC-Cv2 M2.1.2 SEC-Cv3 M2.1.2
   13 00 1    0   13 S goto detected.                                              BARR-C:2013 1.7.c,8.5.a BARR-C:2018 1.7.c,8.5.a CAST 5.5.2 CMSE 5.1.2 CWE-3.4 1075,1119 DERA 56 EADS-C 119 GJB 4.5.1.2 GJB_5369 4.5.1.2 GJB_8114 A-1-5-1 JPL 1 MISRA-AC 14.4 MISRA-C:1998 56 MISRA-C:2004 14.4 MISRA-C:2012(Ed 3 Rev 1) R.15.1 MISRA-C:2012(Ed 3) R.15.1 MISRA-C:2012/AMD1 R.15.1 MISRA-C:2012/AMD1/TC1 R.15.1 MISRA-C:2012/AMD2 R.15.1 MISRA-C:2012/TC1 R.15.1 NUREG_CR-6463 1.2.1.1 SEC-Cv1 M3.1.2 SEC-Cv2 M3.1.2 SEC-Cv3 M3.1.2
   14 00 1    0   14 S Procedural parameter declared.                              CMSE 1.2.2 DERA 149 GJB 4.1.2.2 GJB_5369 4.1.2.2
   15 00 0    0   15 S Not used for 'c'.
   16 00 1    0   16 S Multiple labels declared.                                   CAST 5.1.3 CMSE 1.1.4 GJB 4.1.1.4 GJB_5369 4.1.1.4
   17 00 1    0   17 S Code insert found.                                          DERA 1 MISRA-C:1998 1 MISRA-C:2012(Ed 3 Rev 1) D.4.2 MISRA-C:2012(Ed 3) D.4.2 MISRA-C:2012/AMD1 D.4.2 MISRA-C:2012/AMD1/TC1 D.4.2 MISRA-C:2012/AMD2 D.4.2 MISRA-C:2012/TC1 D.4.2
   18 00 1    6   18 S More than *** parameters in procedure.                      CAST 5.1.20 CMSE 1.2.3 CWE-3.4 1064 FSB582-C 3.7.10 GJB 4.1.2.3 GJB_5369 4.1.2.3 GJB_8114 A-1-7-1 NUREG_CR-6463 1.1.3,4.1.4,4.2.2.1
   19 00 1    0   19 S Procedural para used in an uncalled procedure.              CAST 5.7.8 CMSE 7.2.1 GJB 4.7.2.1
   20 00 1    0   20 S Parameter not declared explicitly.                          BARR-C:2013 6.2.f BARR-C:2018 6.2.f CAST 5.1.4 CERT-C:2008 DCL31-C CERT-C:2014 DCL31-C CERT-C:2016 DCL31-C CMSE 1.1.5 CWE-2.11 628 CWE-3.4 628 DERA 71 GJB 4.1.1.5 GJB_5369 4.1.1.5 GJB_8114 R-1-1-15 MISRA-AC 8.1 MISRA-C:1998 71 MISRA-C:2004 8.1 MISRA-C:2012(Ed 3 Rev 1) R.8.1 MISRA-C:2012(Ed 3) R.8.1 MISRA-C:2012/AMD1 R.8.1 MISRA-C:2012/AMD1/TC1 R.8.1 MISRA-C:2012/AMD2 R.8.1 MISRA-C:2012/TC1 R.8.1
   21 00 1    0   21 S Number of parameters does not match.                        BARR-C:2013 1.1.a BARR-C:2018 1.1.a CAST 5.7.1 CERT-C:2008 DCL07-C,EXP37-C,MSC00-C CERT-C:2014 DCL07-C,EXP37-C,MSC40-C CERT-C:2016 DCL07-C,EXP37-C,MSC40-C CMSE 7.1.1 CWE-2.11 234,235,685 CWE-3.4 234,235,685,1127 DERA 78 FACE-2.1.1-CVM 1516,1519,1545,1549,1586,1590,1623,1625 FACE-3.0-CVM 280,290 FACE-3.1-CVM F-289,F-299 FSB582-C 3.1.1 GJB 4.7.1.1 GJB_5369 4.7.1.1 GJB_8114 R-1-7-3 MISRA-AC 16.6 MISRA-C:1998 78 MISRA-C:2004 16.6 MISRA-C:2012(Ed 3 Rev 1) R.1.1,R.1.3 MISRA-C:2012(Ed 3) R.1.1,R.1.3 MISRA-C:2012/AMD1 R.1.1,R.1.3 MISRA-C:2012/AMD1/TC1 R.1.1,R.1.3 MISRA-C:2012/AMD2 R.1.1,R.1.3 MISRA-C:2012/TC1 R.1.1,R.1.3 NUREG_CR-6463 1.2.15 RUNTIME FNPAR secureC 6
